/Users/qpwoeirut/CompetitiveProgramming/AdventOfCode/venv/bin/pypy3 /Users/qpwoeirut/CTF/CTFs/DownUnderCTF/2024/crypto/my_array_generator/solve_my_array_generator.py
535 309 dc_??_??_87
544 311 ??_??_e2_15
544 312 ??_??_e2_15
544 313 ??_??_e2_15
544 314 ??_??_e2_15
545 315 ??_f4_2f_61
544 316 ??_ea_e2_15
554 317 58_??_27_??
554 318 58_??_27_??
554 319 58_??_27_??
554 320 58_??_27_??
554 321 58_??_27_??
554 322 58_??_27_??
568 323 ??_e9_27_??
568 324 ??_e9_27_??
568 325 ??_e9_27_??
568 326 ??_e9_27_??
568 327 ??_e9_27_??
569 328 ??_78_d2_??
568 329 ??_e9_27_??
568 330 ??_e9_27_??
568 331 ??_e9_27_??
568 332 ??_e9_27_??
568 333 ??_e9_27_??
623 334 a3_2c_??_56
623 335 a3_2c_??_56
623 336 a3_2c_??_56
623 337 a3_2c_??_56
623 338 a3_2c_??_56
623 339 a3_2c_??_56
623 340 a3_2c_??_56
623 341 a3_2c_??_56
623 342 a3_2c_??_56
684 343 ??_fc_3a_c0
689 344 ??_d3_e2_c2
689 345 ??_d3_e2_c2
694 346 ??_09_20_f5
694 347 ??_09_20_f5
704 348 ??_a2_??_e6
706 349 7e_9a_??_??
711 351 5c_??_1b_??
712 354 e1_93_fa_??
712 356 e1_93_fa_??
712 357 e1_93_fa_??
712 358 e1_93_fa_??
712 359 e1_93_fa_??
727 360 07_??_78_01
727 361 07_??_78_01
727 362 07_??_78_01
729 363 a1_cf_??_f4
729 364 a1_cf_??_f4
727 365 07_c4_78_01
735 366 f2_??_??_4e
748 367 ??_1c_3d_1f
748 368 ??_1c_3d_1f
749 369 ??_43_ac_2f
749 370 ??_43_ac_2f
749 371 ??_43_ac_2f
749 372 ??_43_ac_2f
749 373 ??_43_ac_2f
749 374 ??_43_ac_2f
749 376 87_43_ac_2f
749 377 87_43_ac_2f
749 378 87_43_ac_2f
774 379 7e_65_25_0e
774 380 7e_65_25_0e
777 381 ??_27_cd_5c
789 382 a3_??_1b_??
789 383 a3_??_1b_??
789 384 a3_??_1b_??
793 385 d6_??_34_c8
797 386 5c_??_e4_a9
797 387 5c_??_e4_a9
790 388 1e_??_fa_fb
811 389 f8_3b_78_01
818 390 8a_ea_1d_ea
820 391 ??_e3_3d_1f
820 392 ??_e3_3d_1f
820 393 ??_e3_3d_1f
831 394 f2_48_??_b1
833 395 d3_??_f9_6b
832 396 e1_6c_05_fb
832 397 e1_6c_05_fb
834 398 4d_??_e5_ca
840 399 26_8c_fd_24
840 400 26_8c_fd_24
840 401 26_8c_fd_24
840 402 26_8c_fd_24
840 403 26_8c_fd_24
852 404 4d_f5_e5_35
856 405 85_41_2b_f9
856 406 85_41_2b_f9
873 407 fa_27_??_5c
871 408 de_48_??_25
869 409 ac_78_2d_45
880 411 fb_24_0e_08
880 412 fb_24_0e_08
880 413 fb_24_0e_08
890 414 26_8c_fd_24
899 416 02_1c_b5_a2
900 417 ee_38_33_e8
911 418 82_??_61_73
911 419 82_??_61_8c
915 420 88_??_65_3c
922 421 ea_??_c2_e0
922 422 ea_??_c2_e0
921 423 24_??_b7_79
921 424 24_??_b7_79
921 425 24_??_b7_79
941 426 5b_17_63_a8
935 427 ??_ff_f9_94
935 428 ??_ff_f9_94
941 429 5b_17_63_a8
943 430 ??_d3_1d_c2
943 432 8f_d3_1d_c2
944 433 c3_3b_f6_28
944 434 c3_3b_f6_28
976 435 fb_24_0e_f7
981 436 fa_27_32_5c
982 437 46_85_22_2e
995 438 fd_e3_4a_??
994 440 6f_a2_e9_e6
993 441 51_9b_67_e7
997 442 23_ab_cf_87
1001 443 a4_17_9c_57
1004 444 ac_99_e0_31
1006 445 57_bd_11_39
1001 446 a4_17_9c_57
1026 447 81_65_da_f1
1010 448 ??_a8_f3_2c
1006 449 57_bd_11_39
1006 450 57_bd_11_39
1006 451 57_bd_11_39
1001 452 a4_17_9c_57
1006 453 57_bd_11_39
1006 454 57_bd_11_39
974 455 1a_48_0b_0c
990 456 94_86_e7_11
991 457 a6_0b_d6_0a
1001 458 a4_17_9c_57
1096 459 04_db_f1_08
1096 460 fb_db_f1_08
1006 461 57_bd_11_39
1001 462 a4_17_9c_57
1006 463 57_bd_11_39
1006 464 57_bd_11_39
1006 465 57_bd_11_39
1127 466 a3_2c_1b_a9
1136 467 26_8c_02_24
1136 468 26_8c_02_db
1137 469 8d_30_a8_60
1149 470 0f_54_36_13
1154 471 b2_f5_e5_35
1154 472 b2_f5_e5_35
1166 473 c8_??_ce_cc
1168 474 90_??_e9_e6
1176 475 49_??_eb_3d
1178 476 3c_??_f6_d7
1147 477 f0_ab_36_ec
1166 478 c8_??_ce_cc
1174 479 fb_??_0e_08
1178 480 3c_??_f6_d7
1174 481 fb_??_0e_08
1166 482 c8_??_ce_cc
1178 483 3c_??_f6_d7
1184 484 d9_73_fd_24
1183 485 f5_73_fb_4f
1183 486 f5_73_fb_4f
1209 487 2e_e3_b3_c9
1207 488 a3_d3_e4_56
1220 489 ac_99_e0_31
1260 490 57_42_11_39
1267 491 72_cf_57_9f
1269 492 24_90_b7_79
1273 493 75_0b_2f_9e
1205 494 56_5f_e0_e6
1267 495 72_30_57_9f
1267 496 72_cf_57_9f
1267 497 72_cf_57_9f
1166 498 c8_4b_31_cc
1183 499 f5_73_04_4f
1204 500 64_2d_2e_fd
1205 501 56_a0_e0_e6
1267 502 72_cf_57_9f
1205 503 56_a0_e0_e6
1205 504 56_5f_e0_19
1205 505 56_5f_e0_19
1205 506 56_5f_e0_19
Retrying...
1279 506 a4_17_9c_a8
1278 506 fb_db_f1_08
1277 506 77_e8_65_3c
1276 506 1a_48_f4_f3
1275 506 85_5f_e6_8d
1274 506 85_41_d4_06
1273 506 75_0b_d0_61
1272 506 75_15_1d_15
1271 506 7a_a0_19_8d
1270 506 85_41_2b_f9
1269 506 db_90_b7_86
1268 506 bd_a1_2c_d9
1267 506 8d_30_57_60
1266 506 26_8c_02_db
1265 506 f5_73_fb_b0
1264 506 33_6f_c0_c4
1263 506 d1_e3_4c_c9
1262 506 71_ce_13_1d
1261 506 5c_2c_e4_a9
1260 506 57_42_11_c6
1259 506 f8_3b_87_01
1258 506 ac_66_e0_ce
1257 506 70_d3_1d_c2
1256 506 49_2e_14_c2
1255 506 a4_e8_63_57
1254 506 fb_24_0e_f7
1253 506 88_e8_65_c3
1252 506 e5_48_0b_f3
1251 506 2b_c4_81_6a
1250 506 4d_f5_1a_ca
1249 506 2c_00_06_94
1248 506 1e_6c_fa_04
1247 506 f2_48_7c_b1
1246 506 60_09_20_f5
1245 506 0f_ab_36_13
1244 506 0f_54_c9_13
1243 506 0f_ab_c9_ec
1242 506 0f_54_c9_13
1241 506 5e_cf_51_f4
1240 506 38_1f_07_df
1239 506 56_5f_1f_19
1238 506 64_2d_2e_02
1237 506 78_43_53_2f
1236 506 ea_e3_c2_e0
1235 506 db_90_b7_79
1234 506 bd_5e_2c_d9
1233 506 72_30_57_60
1232 506 26_8c_fd_db
1231 506 5b_e8_9c_57
1230 506 04_24_f1_08
1229 506 77_e8_65_3c
1228 506 1a_b7_0b_0c
1227 506 2b_3b_7e_6a
1226 506 b2_0a_1a_35
1225 506 2c_ff_06_6b
1224 506 e1_93_05_fb
1223 506 5c_d3_1b_56
1222 506 57_42_11_39
1221 506 f8_c4_87_01
1220 506 ac_99_e0_31
1219 506 21_b7_7a_25
1218 506 7e_9a_25_0e
1217 506 02_e3_b5_a2
1216 506 90_a2_e9_19
1215 506 ff_ff_ff_ff
1214 506 00_ff_00_00
1213 506 ae_9b_67_e7
1212 506 37_b4_31_33
1211 506 f7_90_4e_12
1210 506 a3_cd_29_22
1209 506 d1_1c_b3_c9
1208 506 8e_31_13_e2
1207 506 a3_d3_e4_56
1206 506 57_42_ee_39
1205 506 56_5f_e0_19
1204 505 64_d2_2e_02
1203 504 d6_d8_??_c8
1201 505 d3_00_f9_94
1200 505 1e_93_fa_04
1199 505 5c_2c_1b_a9
1198 505 57_42_11_39
1197 505 07_c4_87_01
1196 505 ac_66_1f_31
1195 505 21_48_85_da
1194 505 7e_9a_25_0e
1193 505 02_1c_4a_5d
1192 505 90_a2_e9_19
1191 505 51_9b_67_e7
1190 505 c8_4b_ce_cc
1189 505 a6_f4_29_0a
1188 505 6b_86_e7_ee
1187 505 d9_73_fd_db
1186 505 d2_fc_3a_3f
1185 505 8d_30_a8_60
1184 505 d9_8c_02_24
1183 505 f5_73_04_4f
1202 503 dd_a8_??_2c
1182 504 cc_6f_c0_3b
1181 503 ??_87_d4_d1
1179 504 05_27_cd_5c
1178 504 3c_c4_09_d7
1177 504 70_2c_1d_c2
1176 504 b6_2e_14_3d
1175 504 a4_17_9c_a8
1174 504 fb_db_0e_f7
1173 504 d9_73_fd_24
1172 504 d2_fc_3a_c0
1171 504 23_ab_cf_78
1170 504 ee_c7_33_e8
1169 504 02_e3_4a_a2
1168 504 90_a2_e9_19
1167 504 ae_64_67_18
1166 504 c8_4b_31_33
1165 504 59_0b_29_f5
1180 502 ??_7a_dd_2e
1164 503 6b_79_18_11
1163 501 26_??_02_db
1158 502 04_db_0e_08
1157 502 77_17_9a_c3
1156 502 e5_b7_f4_0c
1155 502 d4_3b_81_95
1154 502 4d_f5_e5_35
1153 502 d3_ff_f9_94
1152 502 1e_93_05_fb
1151 502 0d_b7_7c_b1
1150 502 9f_09_df_f5
1149 502 f0_54_36_ec
1148 502 f0_54_36_13
1147 502 0f_ab_36_ec
1146 502 f0_54_36_ec
1145 502 a1_30_ae_0b
1144 502 38_e0_07_20
1143 502 56_a0_e0_e6
1142 502 9b_d2_2e_02
1141 502 78_bc_ac_d0
1140 502 15_e3_c2_1f
1139 502 24_90_b7_79
1138 502 42_a1_d3_d9
1137 502 8d_cf_a8_9f
1136 502 26_8c_02_24
1135 502 a4_17_63_a8
1134 502 fb_24_f1_08
1133 502 88_17_9a_c3
1132 502 e5_b7_f4_0c
1131 502 d4_3b_81_95
1130 502 b2_0a_e5_35
1129 502 2c_00_06_94
1128 502 1e_6c_05_04
1127 502 a3_d3_e4_a9
1126 502 a8_42_ee_39
1125 502 07_c4_78_fe
1124 502 53_99_e0_ce
1123 502 de_48_7a_25
1122 502 7e_65_25_f1
1121 502 fd_e3_b5_a2
1120 502 6f_5d_e9_e6
1119 502 00_00_00_ff
1118 502 00_00_ff_00
1117 502 51_64_67_18
1116 502 37_4b_31_cc
1115 502 08_6f_4e_ed
1114 502 5c_cd_29_dd
1113 502 2e_e3_4c_36
1112 502 71_31_ec_e2
1111 502 5c_d3_1b_56
1110 502 57_bd_11_39
1109 502 a9_a0_e0_19
1108 502 9b_d2_d1_02
1107 502 29_d8_cb_37
1106 502 22_a8_0c_d3
1105 502 d3_00_f9_6b
1104 502 e1_93_fa_04
1103 502 5c_d3_1b_a9
1102 502 a8_bd_11_c6
1101 502 07_c4_78_01
1100 502 ac_99_1f_ce
1099 502 8f_2c_1d_3d
1098 502 b6_d1_14_c2
1097 502 a4_17_9c_a8
1096 502 fb_db_f1_f7
1095 502 d9_73_fd_24
1094 502 d2_03_c5_3f
1093 502 23_54_cf_78
1092 502 ee_38_cc_e8
1091 502 fd_1c_4a_a2
1090 502 90_a2_e9_e6
1089 502 51_9b_98_e7
1088 502 c8_4b_31_cc
1087 502 a6_f4_29_f5
1086 502 94_86_18_11
1085 502 26_8c_fd_db
1084 502 2d_fc_3a_c0
1083 502 72_cf_57_9f
1082 502 d9_73_fd_db
1081 502 0a_8c_04_4f
1162 500 2d_??_3a_c0
1161 500 8d_??_a8_60
1160 500 d9_??_fd_db
1159 500 a4_??_63_57
1080 501 cc_90_c0_3b
1079 500 80_87_??_2e
1077 500 05_d8_??_a3
1075 501 8f_2c_e2_3d
1074 501 49_d1_eb_3d
1073 501 5b_17_9c_a8
1072 501 fb_db_0e_08
1071 501 26_8c_02_db
1070 501 d2_fc_3a_3f
1069 501 23_54_cf_87
1068 501 ee_38_cc_17
1067 501 53_87_d2_ba
1066 501 58_e9_d8_d5
1065 501 f7_90_4e_ed
1064 501 a3_32_29_22
1063 501 7f_87_d4_d1
1062 501 b9_7a_22_d1
1061 501 54_43_aa_bb
1060 501 0b_70_38_1b
1059 501 78_43_ac_2f
1078 499 b9_7a_??_2e
1076 499 c3_3b_??_28
1058 500 15_e3_c2_e0
1057 499 ??_f4_d0_61
1055 499 ??_a0_19_8d
1053 500 75_0b_d0_61
1052 500 8a_ea_e2_15
1051 500 d4_3b_7e_95
1050 500 4d_f5_e5_35
1049 500 82_64_9e_8c
1048 500 29_27_34_37
1047 500 05_d8_32_5c
1046 500 3c_3b_f6_28
1045 500 21_48_7a_da
1044 500 81_65_da_f1
1043 500 53_87_2d_ba
1042 500 58_e9_d8_2a
1041 500 f7_6f_4e_ed
1056 498 ??_15_1d_15
1054 498 ??_be_d4_f9
1040 499 a3_32_29_22
1039 497 7f_??_2b_2e
1032 498 e1_6c_fa_04
1031 498 a3_2c_1b_56
1030 498 a8_42_11_39
1029 498 07_c4_78_01
1028 498 53_66_e0_ce
1027 498 de_48_85_25
1026 498 81_9a_da_0e
1025 498 fd_e3_4a_5d
1024 498 6f_5d_e9_e6
1023 498 ff_ff_00_00
1022 498 00_00_00_ff
1021 498 ae_9b_98_e7
1020 498 c8_b4_31_cc
1019 498 f7_90_4e_ed
1018 498 a3_32_29_22
1017 498 2e_1c_4c_36
1016 498 8e_31_ec_1d
1015 498 5c_2c_1b_a9
1014 498 57_42_11_c6
1013 498 a9_5f_1f_e6
1012 498 64_2d_d1_fd
1011 498 29_d8_cb_37
1010 498 dd_a8_f3_2c
1009 498 2c_00_f9_6b
1008 498 1e_93_05_04
1007 498 5c_2c_1b_56
1006 498 57_bd_11_39
1005 498 f8_3b_87_01
1004 498 ac_66_e0_31
1003 498 8f_d3_e2_3d
1002 498 b6_2e_eb_3d
1001 498 a4_17_9c_57
1000 498 fb_db_0e_f7
999 498 d9_8c_02_db
998 498 2d_fc_c5_3f
997 498 23_ab_cf_87
996 498 11_38_cc_17
995 498 fd_e3_b5_5d
994 498 6f_5d_16_e6
993 498 51_64_67_e7
992 498 37_4b_ce_cc
991 498 59_0b_29_f5
990 498 6b_86_18_11
989 498 26_8c_02_db
988 498 2d_fc_c5_3f
987 498 72_30_57_60
986 498 26_8c_fd_db
985 498 f5_73_fb_4f
984 498 cc_6f_c0_3b
983 498 80_78_2b_2e
982 498 b9_7a_dd_d1
981 498 fa_d8_32_5c
980 498 c3_3b_f6_d7
979 498 8f_d3_e2_c2
978 498 49_2e_eb_c2
977 498 5b_17_63_a8
976 498 04_24_0e_08
975 498 88_e8_65_3c
974 498 1a_48_0b_0c
973 498 2b_3b_81_95
972 498 4d_0a_e5_35
971 498 7d_64_61_8c
970 498 29_d8_34_c8
969 498 fa_27_32_5c
968 498 3c_3b_09_d7
967 498 de_48_85_da
966 498 7e_9a_25_0e
965 498 ac_87_d2_45
964 498 58_e9_d8_2a
963 498 f7_6f_b1_12
962 498 5c_cd_29_dd
961 498 80_78_d4_2e
960 498 b9_7a_22_d1
959 498 54_43_aa_44
958 498 f4_8f_c7_1b
957 498 78_43_53_d0
1038 496 46_??_22_2e
1037 496 ab_??_55_44
1036 496 f4_??_c7_1b
1035 496 29_??_cb_37
1034 496 dd_??_0c_d3
1033 496 d3_??_f9_94
956 497 15_e3_3d_e0
955 496 8a_0b_??_61
953 496 85_5f_??_8d
951 496 8a_f4_??_9e
949 497 d4_3b_7e_95
948 497 b2_0a_e5_35
947 497 7d_9b_9e_73
946 497 29_27_34_37
945 497 05_d8_cd_5c
944 497 3c_c4_f6_28
943 497 70_d3_1d_3d
942 497 b6_d1_14_c2
941 497 a4_17_9c_57
940 497 fb_db_f1_f7
939 497 88_17_9a_3c
938 497 1a_48_0b_f3
937 497 2b_c4_7e_6a
936 497 b2_0a_1a_ca
935 497 2c_00_06_94
929 496 ??_ab_c9_ec
927 497 a1_30_ae_f4
926 497 c7_1f_07_20
925 497 56_5f_e0_19
924 497 64_d2_d1_02
923 497 87_bc_ac_d0
922 497 15_1c_c2_1f
921 497 24_90_48_86
920 497 bd_5e_2c_d9
919 497 72_cf_57_60
918 497 d9_8c_02_db
917 497 a4_e8_63_57
954 495 75_ea_??_15
952 495 7a_41_??_06
950 495 8a_ea_??_15
934 496 1e_93_fa_fb
933 495 ??_b7_7c_4e
931 495 ??_54_c9_ec
930 495 ??_ab_c9_ec
928 495 ??_54_36_ec
916 496 fb_db_f1_08
906 496 49_2e_eb_3d
905 496 a4_e8_63_57
904 496 fb_24_f1_f7
903 496 d9_8c_fd_db
902 496 d2_fc_3a_3f
901 496 23_ab_cf_78
900 496 ee_c7_33_e8
899 496 02_1c_4a_5d
898 496 6f_5d_e9_19
897 496 51_64_67_e7
896 496 c8_b4_31_33
895 496 59_0b_29_0a
894 496 94_86_18_ee
893 496 26_8c_02_db
892 496 2d_03_c5_c0
891 496 72_30_57_60
890 496 d9_73_fd_db
889 496 f5_73_04_4f
888 496 33_6f_c0_3b
887 496 80_87_2b_d1
886 496 b9_85_dd_d1
885 496 05_d8_32_5c
884 496 c3_3b_f6_28
883 496 70_2c_e2_3d
882 496 49_2e_14_3d
881 496 a4_17_9c_57
880 496 fb_db_f1_08
879 496 77_e8_65_3c
878 496 1a_48_0b_0c
877 496 2b_c4_7e_6a
876 496 4d_f5_e5_ca
875 496 7d_9b_61_8c
874 496 d6_27_34_c8
873 496 fa_27_cd_5c
872 496 3c_c4_09_28
871 496 de_48_7a_da
870 496 7e_65_da_0e
869 496 ac_87_2d_45
868 496 58_16_27_2a
867 496 08_6f_4e_12
866 496 5c_cd_d6_dd
865 496 7f_87_2b_2e
864 496 46_7a_dd_2e
863 496 54_bc_55_bb
862 496 0b_70_38_e4
861 496 87_43_ac_2f
860 496 ea_e3_3d_e0
859 496 75_0b_d0_61
858 496 75_15_1d_ea
857 496 7a_a0_e6_72
856 496 7a_41_d4_06
855 496 75_0b_d0_9e
854 496 8a_15_1d_15
853 496 d4_c4_81_6a
852 496 4d_0a_e5_ca
851 496 d3_ff_06_94
850 496 1e_6c_05_04
849 496 a3_d3_e4_a9
848 496 57_42_ee_c6
847 496 56_5f_e0_e6
846 496 64_d2_d1_fd
845 496 87_43_53_d0
844 496 15_e3_3d_1f
843 496 24_6f_b7_86
842 496 42_a1_2c_d9
841 496 72_cf_57_9f
840 496 26_73_fd_24
839 496 5b_e8_63_57
838 496 04_24_f1_f7
837 496 77_17_65_3c
836 496 e5_b7_0b_0c
835 496 d4_3b_7e_6a
834 496 4d_f5_e5_ca
833 496 2c_00_f9_94
827 495 f0_ab_??_13
825 495 5e_cf_??_0b
823 496 a9_a0_e0_e6
822 496 9b_2d_d1_02
821 496 78_43_53_2f
820 496 15_e3_c2_1f
819 496 75_0b_d0_61
818 496 8a_15_e2_ea
817 496 d4_c4_81_6a
816 496 4d_0a_e5_35
815 496 2c_00_06_6b
814 496 e1_93_fa_04
813 496 a3_d3_e4_56
812 496 a8_42_11_39
811 496 07_c4_78_fe
932 494 ??_f6_df_f5
915 494 88_??_65_c3
912 494 b2_??_e5_35
911 494 82_??_9e_73
910 494 29_??_cb_c8
909 494 fa_??_32_a3
908 494 3c_??_f6_d7
907 494 70_??_e2_c2
832 495 e1_6c_fa_fb
831 494 f2_48_??_b1
829 494 0f_54_??_ec
828 494 0f_ab_??_13
826 494 0f_ab_??_13
824 494 38_e0_??_20
810 495 ac_99_e0_31
809 494 ??_b7_7a_da
807 494 ??_e3_b5_a2
805 495 ff_ff_00_00
914 493 e5_??_0b_0c
913 493 d4_??_7e_6a
830 493 9f_09_??_f5
808 493 ??_65_25_f1
806 493 ??_5d_16_19
804 494 00_ff_ff_00
803 493 ??_9b_67_18
801 494 f7_90_4e_ed
800 494 a3_32_d6_22
799 494 d1_e3_4c_c9
798 494 71_ce_13_1d
797 494 a3_2c_e4_56
796 494 a8_42_ee_c6
795 494 56_5f_1f_e6
794 494 64_d2_2e_02
793 494 d6_27_34_37
802 492 ??_b4_31_cc
792 493 22_57_f3_d3
791 491 2c_??_06_94
